T,seed,estimator,measure,numpy_val,jidt_val
800,8,gaussian,entropy,1.5676492301727234,1.5676492251727239
800,8,kozachenko,entropy,1.5403217546186125,1.540322162487838
800,8,kernel,entropy,2.260092978348124,2.260092978348122
800,8,gaussian,MI,0.025127415018505468,0.025127415018505583
800,8,kraskov,MI,0.07110434150777856,0.061075881373865215
800,8,kernel,MI,0.06467358672388983,0.06467358672388934
800,8,gaussian,TE,0.0967477840587847,0.0967477840587852
800,8,kraskov,TE,0.11730244906409748,0.11116156375060471
800,8,kernel,TE,0.19771511146401896,0.19771511146401857
800,8,symbolic,TE,0.027075900316670953,0.02707590031667063
800,9,gaussian,entropy,1.5771100305832189,1.5771100255832184
800,9,kozachenko,entropy,1.5578355895130258,1.557722944671716
800,9,kernel,entropy,2.267383388814183,2.267383388814182
800,9,gaussian,MI,0.06430322156695387,0.06430322156695403
800,9,kraskov,MI,0.07516293622749437,0.0750998015368296
800,9,kernel,MI,0.11069095517003535,0.11069095517003442
800,9,gaussian,TE,0.12165500817404956,0.12165500817404991
800,9,kraskov,TE,0.1095666267590154,0.12389706542573231
800,9,kernel,TE,0.23378050976201403,0.23411919914321286
800,9,symbolic,TE,0.04439550422599314,0.044395504225992824
1600,0,gaussian,entropy,1.5594241771752928,1.5594241721752928
1600,0,kozachenko,entropy,1.484035811006323,1.484021626533793
1600,0,kernel,entropy,2.2552115094500613,2.255211509450059
1600,0,gaussian,MI,0.01965086703380652,0.01965086703380653
1600,0,kraskov,MI,0.021905319432156567,0.02237555399708757
1600,0,kernel,MI,0.05225965766362067,0.05225965766361997
1600,0,gaussian,TE,0.09205357019499366,0.09205357019499402
1600,0,kraskov,TE,0.11762357600426077,0.117385915143281
1600,0,kernel,TE,0.1731649105311802,0.17318880660025907
1600,0,symbolic,TE,0.025145512262231495,0.025145512262231703
1600,1,gaussian,entropy,1.5949090633080587,1.5949090583080585
1600,1,kozachenko,entropy,1.5159401272724846,1.5160940312426128
1600,1,kernel,entropy,2.300234168641865,2.3002341686418686
1600,1,gaussian,MI,0.03748868153133193,0.03748868153133217
1600,1,kraskov,MI,0.02436514826423153,0.024134223283280853
1600,1,kernel,MI,0.054475272161545914,0.05447527216154536
1600,1,gaussian,TE,0.08769800866476168,0.0876980086647618
1600,1,kraskov,TE,0.08592536883288027,0.08626892871446801
1600,1,kernel,TE,0.1584286290946278,0.15844446771630477
1600,1,symbolic,TE,0.029544555803213024,0.029544555803212604
1600,2,gaussian,entropy,1.5674338780590942,1.5674338730590942
1600,2,kozachenko,entropy,1.5359599421593213,1.5359503778855235
1600,2,kernel,entropy,2.2609432635664692,2.260943263566467
1600,2,gaussian,MI,0.023409591745917533,0.023409591745917478
1600,2,kraskov,MI,0.021267011888032705,0.021351723737461192
1600,2,kernel,MI,0.04719510249730634,0.04719510249730572
1600,2,gaussian,TE,0.08899714240400292,0.08899714240400217
1600,2,kraskov,TE,0.0745084018963933,0.07387234401001197
1600,2,kernel,TE,0.15695016175978657,0.15689713925290152
1600,2,symbolic,TE,0.03354836584783305,0.0335483658478326
1600,3,gaussian,entropy,1.562013364501422,1.5620133595014216
1600,3,kozachenko,entropy,1.5304482520689398,1.5304522385107688
1600,3,kernel,entropy,2.253485496288421,2.253485496288418
1600,3,gaussian,MI,0.022629526312207805,0.02262952631220782
1600,3,kraskov,MI,0.004056660907665766,0.001127281128405322
1600,3,kernel,MI,0.04217634758421198,0.04217634758421119
1600,3,gaussian,TE,0.0805118178453233,0.08051181784532283
1600,3,kraskov,TE,0.0892504719933187,0.08821201508347953
1600,3,kernel,TE,0.15336430413921381,0.15333046166391132
1600,3,symbolic,TE,0.02775938705325154,0.027759387053251743
1600,4,gaussian,entropy,1.5518993573679636,1.5518993523679636
1600,4,kozachenko,entropy,1.5188700500802295,1.5187526567994611
1600,4,kernel,entropy,2.241609802895895,2.2416098028958915
1600,4,gaussian,MI,0.030523775927128856,0.030523775927128842
1600,4,kraskov,MI,0.020118267623346675,0.02432086369526676
1600,4,kernel,MI,0.05718586290133464,0.057185862901333866
1600,4,gaussian,TE,0.09543066502760589,0.09543066502760539
1600,4,kraskov,TE,0.10064510577533281,0.09521770448024669
1600,4,kernel,TE,0.16000499118312211,0.1600042203389306
1600,4,symbolic,TE,0.025591497118451434,0.025591497118451594
1600,5,gaussian,entropy,1.5547230439389692,1.5547230389389695
1600,5,kozachenko,entropy,1.5126181659995916,1.5125925282429256
1600,5,kernel,entropy,2.242536098472891,2.24253609847289
1600,5,gaussian,MI,0.04398886697637713,0.043988866976377015
1600,5,kraskov,MI,0.046594950328551654,0.04504918198999608
1600,5,kernel,MI,0.07471204145797902,0.07471204145797854
1600,5,gaussian,TE,0.0963843679572785,0.09638436795727769
1600,5,kraskov,TE,0.10491939660149674,0.10171983184920341
1600,5,kernel,TE,0.17533186375739276,0.17543713912486023
1600,5,symbolic,TE,0.02371925895010274,0.023719258950103135
1600,6,gaussian,entropy,1.567103836599423,1.5671038315994212
1600,6,kozachenko,entropy,1.5572672188245624,1.5572669176831369
1600,6,kernel,entropy,2.262703553552552,2.262703553552545
1600,6,gaussian,MI,0.024680434256823647,0.024680434256823695
1600,6,kraskov,MI,0.008122282792634827,0.009243961095116937
1600,6,kernel,MI,0.04654894809444193,0.04654894809444132
1600,6,gaussian,TE,0.08576808296640681,0.08576808296640714
1600,6,kraskov,TE,0.09832520977520431,0.10372394759472203
1600,6,kernel,TE,0.15342673625391212,0.15344859654888507
1600,6,symbolic,TE,0.0215943034180186,0.021594303418018594
1600,7,gaussian,entropy,1.5879500548749252,1.587950049874925
1600,7,kozachenko,entropy,1.5899988790458552,1.5899809688436406
1600,7,kernel,entropy,2.286165898910995,2.2861658989109923
1600,7,gaussian,MI,0.028585693155399803,0.028585693155399668
1600,7,kraskov,MI,0.04940665914410669,0.05021835982740175
1600,7,kernel,MI,0.052212323925541974,0.05221232392554126
1600,7,gaussian,TE,0.1000979736684176,0.10009797366841747
1600,7,kraskov,TE,0.09842346071466568,0.09232029392451158
1600,7,kernel,TE,0.172244602267728,0.17224460226772806
1600,7,symbolic,TE,0.0348667580917823,0.034866758091782094
1600,8,gaussian,entropy,1.5677938852681461,1.567793880268146
1600,8,kozachenko,entropy,1.6268689482539607,1.6268554193888525
1600,8,kernel,entropy,2.261806611129803,2.261806611129801
1600,8,gaussian,MI,0.026117278453125527,0.026117278453125566
1600,8,kraskov,MI,0.009539700036873988,0.01293547801456274
1600,8,kernel,MI,0.05329453431316313,0.05329453431316233
1600,8,gaussian,TE,0.07853542198663899,0.07853542198663833
1600,8,kraskov,TE,0.07153187533099237,0.07358737504645085
1600,8,kernel,TE,0.15435825426698183,0.1543313447066997
1600,8,symbolic,TE,0.0138151072702688,0.013815107270268606
1600,9,gaussian,entropy,1.553504955555456,1.5535049505554561
1600,9,kozachenko,entropy,1.5681651754014787,1.5681043608361804
1600,9,kernel,entropy,2.2415906192495476,2.241590619249544
1600,9,gaussian,MI,0.026420495684643084,0.026420495684643035
1600,9,kraskov,MI,0.06459780662466397,0.06782893911438759
1600,9,kernel,MI,0.05419718670403071,0.05419718670403003
1600,9,gaussian,TE,0.07447828980245003,0.07447828980244975
1600,9,kraskov,TE,0.09206080581160503,0.09257387985963117
1600,9,kernel,TE,0.14290259522274737,0.14311888195001024
1600,9,symbolic,TE,0.018535188882593534,0.01853518888259353
