identifier,p_M,q_T,log_resid_std,amortized_at_largest,pred_M64_T3200_s,lo_M64_T3200_s,hi_M64_T3200_s
xme_kozachenko_k1,2.075146931201418,0.9853809456552207,0.044343305498309775,7.142614,14.364409502860665,13.7413602261442,15.015708559426313
phi_Geo_t-1_norm-1,2.0710366141582868,-0.02960069521348939,0.05106868474713762,7.295577,7.3714506617627835,7.004451219272024,7.757679104009862
phi_Geo_t-1_norm-0,2.046010041311747,-0.05865650468561823,0.07525852474346299,7.166739,6.833741796434557,6.3383206143533135,7.367886508388836
cce_gaussian,2.0346785552121975,0.42741515675434977,0.09403827066649414,3.740957,4.826904281221304,4.39367960991725,5.302845680300154
reci,2.0539053027411187,0.04461406365876633,0.032928186036363834,4.380826,4.587532381157977,4.438933238077714,4.741106076487589
lmfit_SGDRegressor,2.0545122060434244,0.23681976876411687,0.06467041780864166,3.515834,4.196780679289712,3.933962975992903,4.477156541010413
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-None,2.0328037806298025,0.7161582898929929,0.0651519111414964,2.2715955416666667,3.677071042040187,3.4451402390830146,3.924615693383014
