identifier,intercept,p_M,q_T,log_resid_std,n_points,amortized_at_largest
gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
pli_multitaper_max_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
pli_multitaper_max_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
phase_multitaper_max_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
phase_multitaper_max_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
xme_gaussian_k1,-10.806327630726532,1.9398736588661298,0.2275304214709375,0.06377034932376005,20,0.261638
xcorr_max_sig-True,-10.344217299059355,1.8862400047431196,0.1631637275481604,0.11374008402165997,20,0.232046
gwtau,-12.802421830585637,1.9122144709188225,0.5067430147042575,0.11333491771480302,20,0.163492
dtw_constraint-sakoe-chiba_radius-auto,-18.304733615848924,1.859156904206845,1.4387713807332905,0.2625747390772674,20,0.161656
ce_kernel_W-0.5,-14.33376059613788,1.00057494343664,1.1438014746346639,0.05182102683592678,20,0.036347
xpdist_euclidean_tau-1_mean_rmse,-11.741796307521302,1.8455745867543947,0.10860800463896904,0.1004072091097276,20,0.035305
xpdist_euclidean_tau-1_min_rmse,-11.647413219099251,1.797249548959259,0.10622173924596635,0.12396060099526536,20,0.032414
xcorr-sq_mean_sig-True,-11.51554012205827,1.8007817283346528,0.05586476547131546,0.11687400698741382,20,0.028386
